ROI,Weights,Atlas,Task
Vermis_7,0.01376661866688629,aal,rest
Vermis_8,0.015811335455182294,aal,rest
Vermis_9,0.014304487193333276,aal,rest
Vermis_10,-0.012423644431856522,aal,rest
Thal_AV_L,0.022025757926827566,aal,rest
Thal_AV_R,0.060158234897007785,aal,rest
Thal_LP_L,0.04585364875862979,aal,rest
Thal_LP_R,0.06582287994938595,aal,rest
Thal_VA_L,0.014005053039911291,aal,rest
Thal_VA_R,-0.011537170569364171,aal,rest
Thal_VL_L,0.007534376278308456,aal,rest
Thal_VL_R,0.02062732012875252,aal,rest
Thal_VPL_L,0.024385132353967793,aal,rest
Thal_VPL_R,0.017464205222607776,aal,rest
Thal_IL_L,0.007963477911627312,aal,rest
Thal_IL_R,-0.019483936615306806,aal,rest
Thal_Re_L,0.05483325086952391,aal,rest
Thal_Re_R,0.04461900582145972,aal,rest
Thal_MDm_L,0.00028136749264567087,aal,rest
Thal_MDm_R,-0.004988064451584332,aal,rest
Thal_MDl_L,-0.008684614832558116,aal,rest
Thal_MDl_R,0.007579779251115169,aal,rest
Thal_LGN_L,0.03602442020235674,aal,rest
Thal_LGN_R,0.023138817683923212,aal,rest
Thal_MGN_L,0.013353610954512382,aal,rest
Thal_MGN_R,0.018607755048567147,aal,rest
Thal_PuI_L,0.02196075652284234,aal,rest
Thal_PuI_R,0.02150284523685321,aal,rest
Thal_PuM_L,0.014721967717902244,aal,rest
Thal_PuM_R,-0.039202792390382754,aal,rest
Thal_PuA_L,0.020611061369496125,aal,rest
Thal_PuA_R,-0.006055550209975991,aal,rest
Thal_PuL_L,0.04655702493363168,aal,rest
Thal_PuL_R,-0.0032040112660844757,aal,rest
ACC_sub_L,0.009311375996613455,aal,rest
ACC_sub_R,0.005303558398079668,aal,rest
ACC_pre_L,0.030625781441407596,aal,rest
ACC_pre_R,0.03491782563116847,aal,rest
ACC_sup_L,-0.010955959068608214,aal,rest
ACC_sup_R,0.0027252186535066305,aal,rest
N_Acc_L,-0.008304049838372043,aal,rest
N_Acc_R,-0.002072097977718131,aal,rest
VTA_L,-0.010508921141799873,aal,rest
VTA_R,-0.011245875917453912,aal,rest
SN_pc_L,-0.0038644019362720885,aal,rest
SN_pc_R,-0.023266982671532675,aal,rest
SN_pr_L,-0.005582564696449928,aal,rest
SN_pr_R,-0.017391597731425464,aal,rest
Red_N_L,-0.010493364009691999,aal,rest
Red_N_R,-0.017976771499688137,aal,rest
LC_L,0.044705809494462304,aal,rest
LC_R,0.03093340179262668,aal,rest
Raphe_D,-0.03674507634061431,aal,rest
Raphe_M,-0.007933637091976682,aal,rest
7Networks_LH_Vis_1,0.007826434674301509,schaefer,rest
7Networks_LH_Vis_2,0.022136481374607383,schaefer,rest
7Networks_LH_Vis_3,-0.04007477861651406,schaefer,rest
7Networks_LH_Vis_4,2.2478712139019382e-05,schaefer,rest
