Subject,Task,Network,Value
sub-35,fe,Limbic,-3.2450890681432382e-09
sub-35,fe,Frontoparietal,0.052973843425688685
sub-35,fe,Default,-0.017156523913941353
sub-36,fe,Visual,0.024330696453913562
sub-36,fe,Somatomotor,0.03933318790995195
sub-36,fe,DorsalAttention,-0.04320127877601837
sub-36,fe,VentralAttention,0.03715756536177821
sub-36,fe,Limbic,-0.01686741808080242
sub-36,fe,Frontoparietal,-0.016531572202019573
sub-36,fe,Default,-0.0609388150004412
sub-37,fe,Visual,0.062248674779323006
sub-37,fe,Somatomotor,0.024618400321576684
sub-37,fe,DorsalAttention,0.04484325742789025
sub-37,fe,VentralAttention,-0.04342469834618505
sub-37,fe,Limbic,-3.381434855385008e-08
sub-37,fe,Frontoparietal,-0.036079719790132664
sub-37,fe,Default,-0.036251293643034484
sub-38,fe,Visual,8.463403017649573e-05
sub-38,fe,Somatomotor,-0.047120119454233035
sub-38,fe,DorsalAttention,0.0004906528178416886
sub-38,fe,VentralAttention,-0.02783607941779522
sub-38,fe,Limbic,9.175010645238676e-07
sub-38,fe,Frontoparietal,-0.005632547059605304
sub-38,fe,Default,0.012471628442896105
sub-39,fe,Visual,0.05678571638718525
sub-39,fe,Somatomotor,0.06435557536769786
sub-39,fe,DorsalAttention,0.018767102440927542
sub-39,fe,VentralAttention,0.014910718334297992
sub-39,fe,Limbic,-0.021189328187630262
sub-39,fe,Frontoparietal,-0.09180062975217494
sub-39,fe,Default,0.023117869856164038
sub-40,fe,Visual,0.11881745273728281
sub-40,fe,Somatomotor,-0.03302006122949803
sub-40,fe,DorsalAttention,-0.03002826244468994
sub-40,fe,VentralAttention,-0.023858253625194236
sub-40,fe,Limbic,8.826954885151386e-07
sub-40,fe,Frontoparietal,-0.0693855014318973
sub-40,fe,Default,-0.02623286623664459
